qsns,opt1,opt2,opt3,opt4,correct_option,explanation
Which of the following is used to terminate a string in C?,\n,\0,\t,EOF,,
What is the purpose of a pointer in C?,To store the address of another variable,To store large values,To perform arithmetic operations,To declare functions,,
What is the difference between a structure and a union in C?,Structure uses less memory than union,Union uses less memory than structure,Structure cannot store different data types,Union cannot store different data types,,
What is the size of a 1-D array declared as int arr[5]?,5 bytes,10 bytes,20 bytes,Depends on the system architecture,,
Which of the following is a formatted input function in C?,scanf(),getchar(),gets(),fgets(),,
What is the starting point of a C program execution?,main() function,start() function,init() function,execute() function,,
Which operator is used to access the value at the address stored in a pointer?,*,&,->,::,,
What does the sizeof operator return?,Size of a variable or data type,Address of a variable,Value of a variable,Type of a variable,,
Which of the following is NOT a valid C token?,Keywords,Identifiers,Operators,Comments,,
What is the default return type of a function in C if not specified?,int,void,float,char,,
Which keyword is used to define a recursive function?,recursive,repeat,No specific keyword,loop,,
Which loop is guaranteed to execute at least once?,for loop,while loop,do-while loop,None of the above,,
What is the result of the expression 5 / 2 in C?,2.5,2,3,Error,,
Which of the following is true about file handling in C?,Files can only be opened in read mode,"Files can be opened in read, write, or append mode",Files cannot be closed once opened,Files are automatically deleted after use,,
Which of the following is NOT a feature of Object-Oriented Programming?,Encapsulation,Inheritance,Polymorphism,Procedural programming,,
What is the purpose of a namespace in C++?,To define global variables,To resolve naming conflicts,To allocate memory dynamically,To declare functions,,
What is a constructor in C++?,A function that destroys an object,A function that initializes an object,A function that performs arithmetic operations,A function that returns a value,,
What is the default access specifier for members of a class in C++?,public,private,protected,default,,
What is operator overloading in C++?,Defining multiple functions with the same name,Defining multiple operators with the same name,Redefining operators for user-defined types,Overloading classes,,
Which of the following is true about inline functions?,They increase execution time,They reduce function call overhead,They cannot have loops,They are mandatory in C++,,
Which type of inheritance allows a derived class to inherit from multiple base classes?,Single Inheritance,Multiple Inheritance,Multilevel Inheritance,Hierarchical Inheritance,,
What is the purpose of a virtual function?,To allow static binding,To allow dynamic binding,To reduce memory usage,To define global functions,,
Which of the following is used to handle exceptions in C++?,try-catch block,if-else block,switch-case block,for loop,,
What is dynamic binding in C++?,Binding at compile time,Binding at runtime,Binding using pointers,Binding using references,,
What is the role of a destructor in C++?,To initialize an object,To destroy an object,To allocate memory,To define functions,,
What is the purpose of the 'this' pointer in C++?,To refer to the current object,To refer to the next object,To allocate memory dynamically,To define global variables,,
Which of the following is true about pure virtual functions?,They must be defined in the base class,They make the class abstract,They are used for static binding,They cannot be overridden,,
What is the STL in C++?,Standard Template Library,System Template Library,Simple Template Library,Static Template Library,,
