qsns,opt1,opt2,opt3,opt4,correct_option,explanation
Power factor R/Z has a maximum value of:,0.0,0.5,1.0,1.5,1.0,"The power factor is defined as cos(φ) = R/Z. Since the resistance R is always less than or equal to the impedance Z, the maximum value occurs in a purely resistive circuit where R=Z, resulting in a power factor of 1.0."
Maximum power that can be transferred from source to load is:,25%,75%,50%,100%,50%,"According to the Maximum Power Transfer Theorem, maximum power is transferred when the load resistance equals the source resistance. At this point, the efficiency is 50%, as half the power is dissipated in the source's internal resistance."
Two’s complement of 00011011 is:,11100100,11100101,11000101,11110001,11100101,"To find the two's complement, first invert the bits (one's complement): 00011011 becomes 11100100. Then add 1: 11100100 + 1 = 11100101."
EEPROM has drain and floating gate gap of …..,5 nm,10 nm,12 nm,15 nm,10 nm,EEPROM (Electrically Erasable Programmable Read-Only Memory) typically utilizes a thin oxide layer of approximately 10 nm to allow for Fowler-Nordheim tunneling for erasing and programming.
Heisenberg principle of uncertainty says:,Signal of 10Hz can be generated.,Signal of 10MHz can be generated.,Signal of 100MHz can be generated.,Signal of band 100MHz-105MHz can be generated,Signal of band 100MHz-105MHz can be generated,"Heisenberg's Uncertainty Principle applied to signal processing suggests that we cannot precisely determine both frequency and time. In practical engineering, it implies that signals occupy a bandwidth (frequency range) rather than existing at a single infinitesimal point."
UHF frequency signal can be amplified using:,Class A amplifier,Class AB amplifier,Class C amplifier,Class B amplifier,Class C amplifier,Class C amplifiers are highly efficient and commonly used for amplifying high-frequency signals like UHF (Ultra High Frequency) in RF transmitters where linearity is less critical than efficiency.
Elementary building block of combinational circuit is:,Logic gate,Flip-flop,Both logic gate and flip-flop,Memory,Logic gate,"Combinational circuits are built using logic gates (AND, OR, NOT, etc.) where the output depends solely on the current inputs. Flip-flops are the building blocks of sequential circuits."
PPI 8255 has internal bus of size:,4 bit,8 bit,16 bit,32 bit,8 bit,The Intel 8255 PPI (Programmable Peripheral Interface) is designed to interface with 8-bit microprocessors and thus contains an internal 8-bit data bus.
Which of the following is not a data type in C?,int,float,String,char,String,"In C, 'String' is not a built-in primitive data type. Strings are represented as null-terminated arrays of 'char'. 'int', 'float', and 'char' are fundamental data types."
What is the size of a pointer in C?,1 byte,2 bytes,4 bytes,It depends on the system architecture,It depends on the system architecture,"The size of a pointer in C is determined by the word size of the processor architecture (e.g., 4 bytes for a 32-bit system, 8 bytes for a 64-bit system)."
Which access specifier is used to make the members of a class accessible only within the same class?,public,private,protected,public and protected,private,The 'private' access specifier restricts access to class members such that they can only be accessed or modified by functions within the same class.
Interrupt Service Route (ISR) executes,Before execution of current instructions,With pause of current instructions,After execution of current instructions,With execution of no instruction,After execution of current instructions,"When an interrupt occurs, the CPU typically completes the execution of the current instruction before saving the process state and branching to the Interrupt Service Routine (ISR)."
What is operator overloading in C++?,Defining a new operator.,Overriding an existing operator.,Changing the behaviour of an existing operator.,Changing the behaviour of new operator.,Changing the behaviour of an existing operator.,"Operator overloading in C++ allows you to redefine or 'change the behavior' of built-in operators (like +, -, *) to work with user-defined types (classes/structs)."
What is a class template in C++?,A class that can be used to create objects of different types.,A function that can be used to create objects of different types.,A variable that can be used to create objects of different types.,A character that can be used to create objects of different types.,A class that can be used to create objects of different types.,"A class template allows a class to be defined with a generic type, enabling the creation of multiple class instances that work with different data types using the same code."
What is the difference between ifstream and ofstream in C++?,"ifstream is used for input, while ofstream is used for output.","ofstream is used for input, while ifstream is used for output.",both are used as input.,both are used as output,"ifstream is used for input, while ofstream is used for output.","'ifstream' stands for input file stream (reading from files), and 'ofstream' stands for output file stream (writing to files)."
What is the purpose of the control unit in a CPU?,To perform arithmetic and logical operations on data.,To store and retrieve data from memory.,To interpret instructions and control the flow of data within the CPU.,To print data from memory,To interpret instructions and control the flow of data within the CPU.,"The Control Unit (CU) decodes instructions from memory and generates control signals that coordinate the activities of the ALU, registers, and other components."
What is the purpose of the cache replacement policy?,To determine which data to store in the cache.,To determine which data to evict from the cache when space is needed.,To determine how many levels of cache to use.,To determined which data to store in RAM.,To determine which data to evict from the cache when space is needed.,"Since cache space is limited, the replacement policy (like LRU or FIFO) decides which existing block must be removed to make room for new data."
Which of the following is not a type of DMA transfer mode?,Burst mode,Cycle-stealing mode,Interrupt mode,Instruction mode.,Instruction mode.,"Common DMA modes include Burst mode, Cycle-stealing mode, and Transparent mode. 'Instruction mode' is not a standard DMA transfer mode."
An instruction set refers to a set of -----------,rules for writing code in a specific programming language.,instructions that a processor can execute.,input/output operations that a processor can perform.,printing command,instructions that a processor can execute.,An instruction set architecture (ISA) defines the complete collection of commands (opcodes) that a specific CPU is hardwired to understand and process.
What is a real-time kernel?,The core component of a real-time operating system.,The user interface of a real-time operating system.,The hardware component of a real-time operating system.,The core component of a real-time pointer system.,The core component of a real-time operating system.,"The real-time kernel is the heart of an RTOS, managing task scheduling, synchronization, and resource allocation with deterministic timing."
What is a signal in VHDL?,A variable used to store a value in a digital circuit.,A physical wire used to transmit data in a digital circuit.,A function used to perform a specific task in VHDL.,A file used to store a specific task.,A physical wire used to transmit data in a digital circuit.,"In VHDL, signals represent the physical interconnections (wires) between concurrent components and hold values that change over time."
The PPP of the OSI model operates at ---------------,Physical layer,Data link layer,Network layer,Transport layer,Data link layer,The Point-to-Point Protocol (PPP) is a data link layer protocol used to establish a direct connection between two nodes.
Which protocol is responsible for error detection and correction at the transport layer?,TCP,UDP,ICMP,ARP,TCP,"TCP (Transmission Control Protocol) provides reliable, error-checked delivery of a stream of octets between applications."
Which of the following is a type of routing algorithm used in the network layer?,Link-state routing,Distance-vector routing,Path-vector routing,All of the above.,All of the above.,"Link-state, Distance-vector, and Path-vector are all fundamental classes of routing algorithms used in the Network Layer."
Which application layer protocol is used for sending and receiving emails?,HTTP,FTP,SMTP,POP,SMTP,"Simple Mail Transfer Protocol (SMTP) is the standard protocol for sending emails; while POP/IMAP are for receiving, SMTP is the primary protocol associated with the transfer process."
Which of the following is an example of a physical layer protocol?,Ethernet,TCP,HTTP,ISP,Ethernet,"Ethernet defines both Physical (Layer 1) and Data Link (Layer 2) specifications, including cabling and signal bit patterns."
Synchronous circuit that changes its state at specific clock signal is:,Event driven,Clock driven,Pulse driven,Frequency driven,Clock driven,"Synchronous circuits are clock-driven, meaning their internal state changes only at discrete intervals triggered by a clock pulse."
Bandwidth of microprocessor represents:,Clock speed,Width of internal bus,Number of bit processed/instruction,Number of bit processed/sec,Number of bit processed/sec,Bandwidth in the context of microprocessors refers to the data transfer rate or the volume of bits processed per unit of time.
What is the purpose of the cache replacement policy?,To determine which data to store in the cache.,To determine which data to evict from the cache when space is needed.,To determine how many levels of cache to use.,To determined which data to store in RAM.,To determine which data to evict from the cache when space is needed.,A cache replacement policy (like LRU) manages the limited cache space by deciding which old data to remove to accommodate new data.
What is operator overloading in C++?,Defining a new operator.,Overriding an existing operator.,Changing the behaviour of an existing operator.,Changing the behaviour of new operator.,Changing the behaviour of an existing operator.,Operator overloading allow programmers to redefine how standard operators (like + or *) behave when applied to user-defined classes.
What is a class template in C++?,A class that can be used to create objects of different types.,A function that can be used to create objects of different types.,A variable that can be used to create objects of different types.,A character that can be used to create objects of different types.,A class that can be used to create objects of different types.,"Class templates allow for generic programming, defining a blueprint that works with any data type specified at instantiation."
What is the difference between ifstream and ofstream in C++?,"ifstream is used for input, while ofstream is used for output.","ofstream is used for input, while ifstream is used for output.",both are used as input.,both are used as output,"ifstream is used for input, while ofstream is used for output.","In C++, 'ifstream' is for reading from files (input) and 'ofstream' is for writing to files (output)."
What is the purpose of the control unit in a CPU?,To perform arithmetic and logical operations on data.,To store and retrieve data from memory.,To interpret instructions and control the flow of data within the CPU.,To print data from memory,To interpret instructions and control the flow of data within the CPU.,"The Control Unit decodes instructions and coordinates the flow of data between the ALU, memory, and I/O devices."
What is a signal in VHDL?,A variable used to store a value in a digital circuit.,A physical wire used to transmit data in a digital circuit.,A function used to perform a specific task in VHDL.,A file used to store a specific task.,A physical wire used to transmit data in a digital circuit.,Signals in hardware description languages like VHDL are abstractions of physical electrical connections between logic elements.
What is a real-time kernel?,The core component of a real-time operating system.,The user interface of a real-time operating system.,The hardware component of a real-time operating system.,The core component of a real-time pointer system.,The core component of a real-time operating system.,"The kernel is the essential center of an RTOS, providing task scheduling and resource management with deterministic timing."
Which of the following is an example of a physical layer protocol?,Ethernet,TCP,HTTP,ISP,Ethernet,"Ethernet encompasses the physical layer standards (cables, connectors) required to transmit raw bits over a medium."
The PPP of the OSI model operates at ---------------,Physical layer,Data link layer,Network layer,Transport layer,Data link layer,Point-to-Point Protocol (PPP) resides at the Data Link Layer (Layer 2) to provide framing and synchronization over point-to-point links.
Which of the following is a type of routing algorithm used in the network layer?,Link-state routing,Distance-vector routing,Path-vector routing,All of the above.,All of the above.,"Link-state (e.g., OSPF), Distance-vector (e.g., RIP), and Path-vector (e.g., BGP) are all valid routing categories."
Which application layer protocol is used for sending and receiving emails?,HTTP,FTP,SMTP,POP,SMTP,SMTP is the protocol specifically designed to push emails from a client to a server or between servers.
Which protocol is responsible for error detection and correction at the transport layer?,TCP,UDP,ICMP,ARP,TCP,TCP is the primary transport layer protocol that ensures reliability through error detection (checksums) and retransmission.
Which of the following is not a common type of firewall?,Packet-filtering firewall,Stateful inspection firewall,Proxy firewall,Encryption firewall,Encryption firewall,"Standard firewall classifications include packet-filtering, stateful inspection, and proxy (application-level) firewalls. While firewalls may handle encrypted traffic, 'Encryption firewall' is not a standard functional category."
What are the basic limitations of finite state machine?,It cannot remember grammar for a language,It cannot remember arbitrarily large amount of information,It cannot remember language generated from a grammar,In cannot remember state transitions,It cannot remember arbitrarily large amount of information,"Finite State Machines have a finite number of states and no external memory, meaning they cannot process languages that require counting or remembering an arbitrary number of symbols (like a^n b^n)."
Which of the following Machine is specific for Context free grammar?,Finite state automata,Push down automata,Linear bounded automata,Turing Machine,Push down automata,"Pushdown Automata (PDA) are specifically designed to recognize Context-Free Languages (CFLs) by adding a stack to a finite state machine, which allows for the memory needed to handle nested structures."
Which of these clustering technique permits a convenient graphical display?,Agglomerative clustering,Hierarchical clustering,Probabilistic model-based clustering,Partition-based clustering,Hierarchical clustering,"Hierarchical clustering produces a dendrogram, a tree-like graphical display that conveniently illustrates the relationships and groupings between data points at various levels of similarity."
A straight line segment is translated by applying the transformation equation,P’=P+T,Dx and Dy,P’=P+P,Cy,P’=P+T,"In computer graphics, translation is achieved by adding a translation vector T (containing offsets tx and ty) to the original coordinates P to get the new position P'."
………………….. level is where the model becomes compatible and executable code,Abstract level,Application level,Implementation level,All of the above,Implementation level,The implementation level is the phase where high-level design specifications and models are translated into source code that can be compiled and executed on a machine.
Turing machine (TM) is more powerful than FMS (Finite State Machine) because,tape movement is confined to one direction,it has no finite state,it has the capability to remember arbitrarily long sequences of input symbols,it has finite state,it has the capability to remember arbitrarily long sequences of input symbols,"Turing Machines are more powerful than FSMs because they possess an infinite tape used as memory, allowing them to read, write, and remember sequences of any length."
What does composite transformations means?,Transformations that can be done in sequence,Transformations that cannot be done in sequence,Transformations that can be done simultaneously,Transformations that cannot be done simultaneously,Transformations that can be done in sequence,"Composite transformations involve performing multiple geometric transformations (like rotation, scaling, and translation) in a specific sequence by multiplying their respective matrices."
"It is advisable, to store the -------- before applying the actual transaction to the database.",Data,Logs,Receive,Record,Logs,"To ensure database reliability and atomicity (Write-Ahead Logging), changes are recorded in transaction logs before they are permanently applied to the database files."
"To enforce ………………….. two functions are provided enter-critical and exit-critical, where each function takes as an argument the name of the resource that is the subject of competition.",Mutual Exclusion,Synchronization,Deadlock,Starvation,Mutual Exclusion,Mutual exclusion is enforced by ensuring that only one process can be in its critical section at a time; 'enter-critical' locks the resource and 'exit-critical' releases it.
"If you wanted to require that a user enter an Administrator password to perform administrative tasks, what type of user account should you create for the user?",Administrator User account,Standard User account,Power User account,Authenticated User account,Standard User account,"In security best practices (Principle of Least Privilege), a user should use a Standard User account for daily tasks and be prompted for an Administrator password only when elevation is required."
What is the hash function used in the division method?,h(k) = k/m,h(k) = k mod m,h(k) = m/k,h(k) = m mod k,h(k) = k mod m,"The division method for hashing computes the hash value as the remainder of the key k divided by the table size m, ensuring the index falls within the range [0, m-1]."
Redundancy is reduced in a database table by using the ------------ form.,Abnormal,Normal,Special,Exactly,Normal,"Normalization is the process of organizing data into 'Normal Forms' (1NF, 2NF, 3NF, etc.) to minimize data redundancy and prevent update anomalies."
What is reference architecture?,It is a reference model mapped onto software components,It provided data flow with comments,It provides data flow with pieces,It is a reference model mapped onto software components & data flow with comments,It is a reference model mapped onto software components & data flow with comments,"A reference architecture provides a template solution for a specific domain, consisting of a reference model mapped to specific software components, including data flow descriptions."
"The process to gather the software requirements from client, analyze and document them is known as ___________________.",Feasibility Study,Requirement Gathering,Requirement Engineering,System Requirements Specification,Requirement Engineering,"Requirement Engineering is the comprehensive process that includes elicitation (gathering), analysis, specification (documentation), and validation of software requirements."
"In object-oriented design, what does visibility refer to?",The physical appearance of an object.,The accessibility of class members from other parts of the program.,The process of creating instances of classes.,The relationship between classes in a system.,The accessibility of class members from other parts of the program.,"Visibility (or access modifiers) determines whether data members or methods of a class can be seen or accessed by other classes (e.g., public, private, protected)."
Which of the following testing is sometime called as Acceptance testing?,White-box testing,Grey box testing,Alpha testing,Beta testing,Beta testing,Beta testing is a form of external acceptance testing where a nearly finished product is released to a sample of the intended audience to test under real-world conditions.
What is the purpose of representing system behaviour in OOAD?,To document system architecture and components,To identify potential risks and challenges,To understand and model the dynamic aspects of the system,To create user interfaces and interactions,To understand and model the dynamic aspects of the system,"In Object-Oriented Analysis and Design, modeling behavior focuses on the dynamic interactions between objects, typically represented using state or sequence diagrams."
Which of the following is not a type of DMA transfer mode?,Burst mode,Cycle-stealing mode,Interrupt mode,Instruction mode.,Instruction mode.,"Direct Memory Access (DMA) typically operates in Burst, Cycle-stealing, or Transparent modes. 'Instruction mode' is not a standard term for DMA data transfer."
An instruction set refers to a set of -----------,rules for writing code in a specific programming language.,instructions that a processor can execute.,input/output operations that a processor can perform.,printing command,instructions that a processor can execute.,The instruction set is the set of basic commands (the machine language) that a particular central processing unit is designed to understand and carry out.
What is the main goal of natural language understanding (NLU)?,Translating text from one language to another,Generating human-like responses to user queries,Analyzing and interpreting the meaning of natural language text,Extracting entities and their relationships from a text,Analyzing and interpreting the meaning of natural language text,"NLU focuses on machine reading comprehension, transforming human language into a structured format that a machine can understand."
What is the main goal of the resolution algorithm in inference?,To derive new logical axioms,To simplify logical expressions,To prove the satisfiability or un-satisfiability of a given set of logical statements,To find contradictions in the knowledge base,To prove the satisfiability or un-satisfiability of a given set of logical statements,Resolution is a rule of inference used in automated theorem proving to show that a set of clauses is unsatisfiable by reaching a contradiction.
Which machine learning technique is used to group similar data points together in an unsupervised learning setting?,Clustering,Classification,Regression,Supervised learning,Clustering,Clustering is the unsupervised task of grouping data points such that objects in the same group are more similar to each other than to those in other groups.
